# module_flow --positioning readings, measured 2026-08-19 ~22:1x KST (pre-bell)
# fields: short %float + building/covering + DTC | option P/C OI | IV skew | implied move (expiry, D±n)
SPY    short n/a              | P/C 3.86 | skew  +6.2 | +-0.5% (2026-08-19, D0)
XLV    short n/a              | P/C 1.49 | skew  +3.1 | +-0.6% (2026-08-21, D2)
XLU    short n/a              | P/C 0.88 | skew -37.5 | +-1.4% (2026-08-21, D2)
XLP    short n/a              | P/C 2.32 | skew  +6.2 | +-1.2% (2026-08-21, D2)
XLRE   short n/a              | P/C 0.77 | skew  +0.0 | +-0.8% (2026-08-21, D2)
MPC    2.8%float covering DTC3.4 | P/C 1.06 | skew +37.5 | +-3.8% (2026-08-21, D2)
PSX    2.1%float covering DTC2.9 | P/C 1.87 | skew +37.5 | +-7.3% (2026-08-21, D2)
LITE  12.2%float covering DTC2.0 CROWDED | P/C 1.69 | skew +25.0 | +-6.7% (2026-08-21, D2)
COHR   5.4%float BUILDING  DTC1.9 | P/C 1.28 | skew +25.0 | +-6.6% (2026-08-21, D2)
NVDA   1.3%float covering DTC2.2 | P/C 0.85 | skew +25.0 | +-1.8% (2026-08-19, D0)
RTX    1.3%float BUILDING  DTC3.6 | P/C 0.73 | skew +12.5 | +-1.9% (2026-08-21, D2)
